currentfret,currentstring,notename,frequency,maxlevel,overtone1level,overtone2level,overtone3level,overtone4level,overtone5level
15,5,G5,775.1953,0.0203851089,0.005723138,0.005572583,0.0,0.0,0.0
13,5,F5,689.0625,0.00815787353,0.009411231,0.00174674857,0.0,0.0,0.0
12,5,E5,656.7627,0.00760042435,0.0018631306,0.00192302011,0.0,0.0,0.0
15,4,D5,592.1631,0.0236428026,0.005434533,0.00725938147,0.0,0.0,0.0
14,4,C#5/Db5,549.0967,0.0108496882,0.00188896572,0.002183737,0.0,0.0,0.0
14,5,F#5/Gb5,732.1289,0.008610949,0.00183158845,0.00181299227,0.0,0.0,0.0
13,4,C5,516.7969,0.0165783931,0.00563998334,0.00246963813,0.000681241858,0.0,0.0
12,4,B4,495.263672,0.00967125,0.00309844478,0.00311030517,0.0005956495,0.0,0.0
15,3,A#4/Bb4,473.730469,0.0141417067,0.002312736,0.00608210731,0.000788716541,0.0,0.0
14,3,A4,441.430664,0.009812852,0.00184635166,0.00123347912,0.0005567279,0.0,0.0
13,3,G#4/Ab4,419.897461,0.0116017563,0.003457197,0.00175895938,0.00086228404,0.0,0.0
12,3,G4,398.364258,0.0130973738,0.005580398,0.00384442462,0.00125624007,0.0,0.0
15,2,F4,344.53125,0.0112826061,0.000576610968,0.00196920312,0.00100595423,0.0,0.0
14,2,E4,333.764648,0.01739012,0.00242748857,0.00090361305,0.000528117758,0.0,0.0
13,2,D#4/Eb4,312.231445,0.0177706033,0.003158632,0.001349202,0.000377086,0.0,0.0
12,2,D4,290.698242,0.0100917686,0.00349865435,0.00180943985,0.00099078,0.0,0.0
15,1,C4,258.398438,0.0146210631,0.0015804813,0.00265765586,0.0009149286,0.00111117773,0.0
14,1,B3,247.631836,0.0173089523,0.00110926141,0.0008550782,0.0003107046,0.000277468265,0.0
13,1,A#3/Bb3,236.865234,0.0154192736,0.00236854353,0.0006944252,0.0003541435,0.000592366152,0.0
12,1,A3,226.098633,0.0145303672,0.004993243,0.00207527541,0.00157787977,0.000349422,0.0
15,0,G3,193.798828,0.018771518,0.00117252767,0.002159334,0.000435041758,0.00103039457,0.0
14,0,F#3/Gb3,183.032227,0.00952339,0.00144238491,0.00118668622,0.000409825443,0.000129027962,0.0
13,0,F3,172.265625,0.02782287,0.00644456362,0.0009550156,0.000963208964,0.00137278519,0.0
12,0,E3,161.499023,0.02007953,0.006772832,0.002315817,0.00149374665,0.000614937861,0.0
12,0,E3,161.499023,0.0189395584,0.006157214,0.00124478212,0.001609078,0.0004904063,0.0
13,0,F3,172.265625,0.0244974811,0.005666768,0.0007704601,0.000409299362,0.0009177314,0.0
14,0,F#3/Gb3,183.032227,0.0252700131,0.0026528968,0.002357401,0.0006453769,0.0009112106,0.0
15,0,G3,193.798828,0.0262063276,0.00390065042,0.00303381681,0.000729035935,0.001997781,0.0
12,1,A3,226.098633,0.0116691627,0.00402301876,0.00126816146,0.0009862902,0.000523056369,0.0
13,1,A#3/Bb3,236.865234,0.0129647953,0.00321358582,0.0006916558,0.000588692143,0.000108991611,0.0
14,1,B3,247.631836,0.0173378345,0.0016378432,0.00158380426,0.000729659048,0.000317269471,0.0
